method,fmin,fmax,ch_a,ch_b,mean,sd
coh,4.0,8.0,O2,P3,0.50546351,0.31532047
coh,4.0,8.0,O2,P4,0.51264458,0.29825059
coh,4.0,8.0,P3,P4,0.50905024,0.28016542
coh,8.0,13.0,C3,C4,0.57424203,0.38148012
coh,8.0,13.0,C3,F3,0.63309200,0.38751862
coh,8.0,13.0,C3,F4,0.62429369,0.37558671
coh,8.0,13.0,C3,Fp1,0.67495371,0.34740827
coh,8.0,13.0,C3,Fp2,0.61938120,0.39320079
coh,8.0,13.0,C3,O1,0.64065949,0.35832626
coh,8.0,13.0,C3,O2,0.61437877,0.38149106
coh,8.0,13.0,C3,P3,0.60477629,0.35880165
coh,8.0,13.0,C3,P4,0.65594389,0.34611703
coh,8.0,13.0,C4,F3,0.57490226,0.32896166
coh,8.0,13.0,C4,F4,0.61804384,0.36268327
coh,8.0,13.0,C4,Fp1,0.61635854,0.36357837
coh,8.0,13.0,C4,Fp2,0.56924299,0.36492679
coh,8.0,13.0,C4,O1,0.58972393,0.37262569
coh,8.0,13.0,C4,O2,0.59092297,0.38519705
coh,8.0,13.0,C4,P3,0.64045324,0.39227871
coh,8.0,13.0,C4,P4,0.59022641,0.35562757
coh,8.0,13.0,F3,F4,0.60082177,0.38700034
coh,8.0,13.0,F3,Fp1,0.61630284,0.38947564
coh,8.0,13.0,F3,Fp2,0.65051832,0.38040980
coh,8.0,13.0,F3,O1,0.70753927,0.37023754
coh,8.0,13.0,F3,O2,0.62810416,0.33179612
coh,8.0,13.0,F3,P3,0.66619254,0.36298727
coh,8.0,13.0,F3,P4,0.57571407,0.36347258
coh,8.0,13.0,F4,Fp1,0.60782662,0.33766845
coh,8.0,13.0,F4,Fp2,0.62509566,0.38993071
coh,8.0,13.0,F4,O1,0.62559991,0.34466147
coh,8.0,13.0,F4,O2,0.57583925,0.39473704
coh,8.0,13.0,F4,P3,0.62680977,0.34467112
coh,8.0,13.0,F4,P4,0.57745247,0.38595995
coh,8.0,13.0,Fp1,Fp2,0.62003462,0.39174115
coh,8.0,13.0,Fp1,O1,0.67708621,0.34777226
coh,8.0,13.0,Fp1,O2,0.49985341,0.35687205
coh,8.0,13.0,Fp1,P3,0.69472139,0.35571297
coh,8.0,13.0,Fp1,P4,0.62884234,0.37688370
coh,8.0,13.0,Fp2,O1,0.64027069,0.37161303
coh,8.0,13.0,Fp2,O2,0.56536177,0.36199401
coh,8.0,13.0,Fp2,P3,0.64045743,0.35865245
coh,8.0,13.0,Fp2,P4,0.64390965,0.35855266
coh,8.0,13.0,O1,O2,0.61747847,0.34880768
coh,8.0,13.0,O1,P3,0.58060392,0.35748957
coh,8.0,13.0,O1,P4,0.62678822,0.36662987
coh,8.0,13.0,O2,P3,0.54700799,0.34439319
coh,8.0,13.0,O2,P4,0.58905248,0.33496740
coh,8.0,13.0,P3,P4,0.68048674,0.37010119
coh,13.0,30.0,C3,C4,0.48363590,0.24963121
coh,13.0,30.0,C3,F3,0.49047387,0.29762597
coh,13.0,30.0,C3,F4,0.52683201,0.29987986
coh,13.0,30.0,C3,Fp1,0.49831116,0.28435664
coh,13.0,30.0,C3,Fp2,0.51265166,0.27117609
coh,13.0,30.0,C3,O1,0.47936808,0.29012077
coh,13.0,30.0,C3,O2,0.49723404,0.26820868
coh,13.0,30.0,C3,P3,0.49132041,0.27246744
coh,13.0,30.0,C3,P4,0.53432756,0.28175901
coh,13.0,30.0,C4,F3,0.50665816,0.33022346
coh,13.0,30.0,C4,F4,0.49858920,0.32231644
coh,13.0,30.0,C4,Fp1,0.55229293,0.28912528
coh,13.0,30.0,C4,Fp2,0.55057545,0.27863262
coh,13.0,30.0,C4,O1,0.47690247,0.26893122
coh,13.0,30.0,C4,O2,0.49671452,0.31779011
coh,13.0,30.0,C4,P3,0.46372098,0.30705472
coh,13.0,30.0,C4,P4,0.49709579,0.29107391
coh,13.0,30.0,F3,F4,0.53094067,0.27585376
coh,13.0,30.0,F3,Fp1,0.45216457,0.29422653
coh,13.0,30.0,F3,Fp2,0.53400787,0.25588873
coh,13.0,30.0,F3,O1,0.46439104,0.30213069
coh,13.0,30.0,F3,O2,0.56922283,0.27066512
coh,13.0,30.0,F3,P3,0.51448067,0.28759127
coh,13.0,30.0,F3,P4,0.48559671,0.27656059
coh,13.0,30.0,F4,Fp1,0.47809136,0.29169617
coh,13.0,30.0,F4,Fp2,0.52994196,0.29372784
coh,13.0,30.0,F4,O1,0.49186093,0.30833870
coh,13.0,30.0,F4,O2,0.45694488,0.26844897
coh,13.0,30.0,F4,P3,0.47586286,0.25564851
coh,13.0,30.0,F4,P4,0.50662748,0.28525062
coh,13.0,30.0,Fp1,Fp2,0.50389647,0.28503876
coh,13.0,30.0,Fp1,O1,0.53197205,0.28263077
coh,13.0,30.0,Fp1,O2,0.48698668,0.29281533
coh,13.0,30.0,Fp1,P3,0.50022842,0.28731725
coh,13.0,30.0,Fp1,P4,0.53644730,0.29432103
coh,13.0,30.0,Fp2,O1,0.46187551,0.27973404
coh,13.0,30.0,Fp2,O2,0.50320646,0.28776999
coh,13.0,30.0,Fp2,P3,0.45801113,0.28534221
coh,13.0,30.0,Fp2,P4,0.49705535,0.27303332
coh,13.0,30.0,O1,O2,0.47233799,0.28124830
coh,13.0,30.0,O1,P3,0.52021900,0.30264209
coh,13.0,30.0,O1,P4,0.54832487,0.27849363
coh,13.0,30.0,O2,P3,0.46089372,0.28202306
coh,13.0,30.0,O2,P4,0.50184716,0.27415973
coh,13.0,30.0,P3,P4,0.54278168,0.29530262
coh,30.0,100.0,C3,C4,0.47862165,0.30211227
coh,30.0,100.0,C3,F3,0.47824273,0.30856906
coh,30.0,100.0,C3,F4,0.54597497,0.27556829
coh,30.0,100.0,C3,Fp1,0.49944436,0.28233304
coh,30.0,100.0,C3,Fp2,0.46473507,0.28198546
coh,30.0,100.0,C3,O1,0.47623835,0.30292841
coh,30.0,100.0,C3,O2,0.46772552,0.28563965
coh,30.0,100.0,C3,P3,0.47867587,0.28698251
coh,30.0,100.0,C3,P4,0.57581709,0.27847162
coh,30.0,100.0,C4,F3,0.55040785,0.28902461
coh,30.0,100.0,C4,F4,0.47903228,0.28526800
coh,30.0,100.0,C4,Fp1,0.51226095,0.28463038
coh,30.0,100.0,C4,Fp2,0.49158926,0.29651505
coh,30.0,100.0,C4,O1,0.50544665,0.27804352
coh,30.0,100.0,C4,O2,0.51664393,0.29037310
coh,30.0,100.0,C4,P3,0.43893202,0.28493185
coh,30.0,100.0,C4,P4,0.51974160,0.28603866
coh,30.0,100.0,F3,F4,0.49175035,0.28663013
coh,30.0,100.0,F3,Fp1,0.48624274,0.30414296
coh,30.0,100.0,F3,Fp2,0.51030609,0.31360553
coh,30.0,100.0,F3,O1,0.48380862,0.27781482
coh,30.0,100.0,F3,O2,0.49441768,0.28606173
coh,30.0,100.0,F3,P3,0.51053485,0.27959614
coh,30.0,100.0,F3,P4,0.48902555,0.28937924
coh,30.0,100.0,F4,Fp1,0.53638194,0.27679295
coh,30.0,100.0,F4,Fp2,0.47597526,0.28640424
coh,30.0,100.0,F4,O1,0.49641334,0.29900314
coh,30.0,100.0,F4,O2,0.49842340,0.27971454
coh,30.0,100.0,F4,P3,0.52203952,0.31597383
coh,30.0,100.0,F4,P4,0.53388707,0.28924087
coh,30.0,100.0,Fp1,Fp2,0.48676334,0.28831370
coh,30.0,100.0,Fp1,O1,0.48018606,0.29192977
coh,30.0,100.0,Fp1,O2,0.52814541,0.27275186
coh,30.0,100.0,Fp1,P3,0.53444967,0.30413968
coh,30.0,100.0,Fp1,P4,0.48312570,0.25276796
coh,30.0,100.0,Fp2,O1,0.48041061,0.26077251
coh,30.0,100.0,Fp2,O2,0.55459483,0.27056558
coh,30.0,100.0,Fp2,P3,0.50221418,0.27838414
coh,30.0,100.0,Fp2,P4,0.50308293,0.31869311
coh,30.0,100.0,O1,O2,0.48413781,0.26924156
coh,30.0,100.0,O1,P3,0.50170206,0.26838318
coh,30.0,100.0,O1,P4,0.47523604,0.31690637
coh,30.0,100.0,O2,P3,0.49908021,0.29751791
coh,30.0,100.0,O2,P4,0.52287474,0.28729538
coh,30.0,100.0,P3,P4,0.49400561,0.27624991
coh,100.0,200.0,C3,C4,0.48366917,0.26919452
coh,100.0,200.0,C3,F3,0.54556390,0.26457092
coh,100.0,200.0,C3,F4,0.46227580,0.28378168
coh,100.0,200.0,C3,Fp1,0.50880143,0.31339330
coh,100.0,200.0,C3,Fp2,0.52230990,0.28510183
coh,100.0,200.0,C3,O1,0.49768864,0.28882482
coh,100.0,200.0,C3,O2,0.53558620,0.27763180
coh,100.0,200.0,C3,P3,0.46763469,0.28008202
coh,100.0,200.0,C3,P4,0.51276863,0.29295114
coh,100.0,200.0,C4,F3,0.50705355,0.26701653
coh,100.0,200.0,C4,F4,0.46288584,0.29196562
coh,100.0,200.0,C4,Fp1,0.50623347,0.28780570
coh,100.0,200.0,C4,Fp2,0.52244365,0.28081070
coh,100.0,200.0,C4,O1,0.47428214,0.28387954
coh,100.0,200.0,C4,O2,0.51399047,0.29597747
coh,100.0,200.0,C4,P3,0.52308317,0.29386245
coh,100.0,200.0,C4,P4,0.54139913,0.29397488
coh,100.0,200.0,F3,F4,0.51443830,0.30378129
coh,100.0,200.0,F3,Fp1,0.43688184,0.29327322
coh,100.0,200.0,F3,Fp2,0.55190141,0.26234482
coh,100.0,200.0,F3,O1,0.42764244,0.28248376
coh,100.0,200.0,F3,O2,0.54954505,0.29726180
coh,100.0,200.0,F3,P3,0.50718344,0.28927521
coh,100.0,200.0,F3,P4,0.50573908,0.29922221
coh,100.0,200.0,F4,Fp1,0.47473739,0.28374042
coh,100.0,200.0,F4,Fp2,0.50501411,0.28902157
coh,100.0,200.0,F4,O1,0.49852244,0.27457705
coh,100.0,200.0,F4,O2,0.49844521,0.29569706
coh,100.0,200.0,F4,P3,0.49986968,0.29209234
coh,100.0,200.0,F4,P4,0.53483239,0.28437007
coh,100.0,200.0,Fp1,Fp2,0.55946446,0.27970667
coh,100.0,200.0,Fp1,O1,0.51897956,0.26183870
coh,100.0,200.0,Fp1,O2,0.48381317,0.30174733
coh,100.0,200.0,Fp1,P3,0.47741215,0.29522664
coh,100.0,200.0,Fp1,P4,0.51348997,0.30990536
coh,100.0,200.0,Fp2,O1,0.44858978,0.27699860
coh,100.0,200.0,Fp2,O2,0.49127123,0.29789679
coh,100.0,200.0,Fp2,P3,0.54660116,0.29019479
coh,100.0,200.0,Fp2,P4,0.48034332,0.28804798
coh,100.0,200.0,O1,O2,0.49378666,0.30591767
coh,100.0,200.0,O1,P3,0.50308839,0.29063314
coh,100.0,200.0,O1,P4,0.48313820,0.29146677
coh,100.0,200.0,O2,P3,0.46340587,0.28648659
coh,100.0,200.0,O2,P4,0.52549274,0.29322547
coh,100.0,200.0,P3,P4,0.49904365,0.28901474
coh,4.0,30.0,C3,C4,0.51877953,0.15633358
coh,4.0,30.0,C3,F3,0.53853820,0.16525025
coh,4.0,30.0,C3,F4,0.56827245,0.21289604
coh,4.0,30.0,C3,Fp1,0.55017779,0.18044550
coh,4.0,30.0,C3,Fp2,0.53278216,0.18803683
coh,4.0,30.0,C3,O1,0.53233707,0.17960505
coh,4.0,30.0,C3,O2,0.55767374,0.20942385
coh,4.0,30.0,C3,P3,0.51667791,0.16356734
coh,4.0,30.0,C3,P4,0.55325527,0.17611873
coh,4.0,30.0,C4,F3,0.50987892,0.16819595
coh,4.0,30.0,C4,F4,0.53014764,0.18628897
coh,4.0,30.0,C4,Fp1,0.56654052,0.18415580
coh,4.0,30.0,C4,Fp2,0.53764115,0.18961489
coh,4.0,30.0,C4,O1,0.51433837,0.16950990
coh,4.0,30.0,C4,O2,0.54970620,0.20493654
coh,4.0,30.0,C4,P3,0.53265912,0.18591807
coh,4.0,30.0,C4,P4,0.52024579,0.18363171
coh,4.0,30.0,F3,F4,0.51856920,0.19560370
coh,4.0,30.0,F3,Fp1,0.51718827,0.20045730
coh,4.0,30.0,F3,Fp2,0.55589636,0.19198658
coh,4.0,30.0,F3,O1,0.55207495,0.18576137
coh,4.0,30.0,F3,O2,0.55037448,0.17680418
coh,4.0,30.0,F3,P3,0.56124184,0.20257280
coh,4.0,30.0,F3,P4,0.53028010,0.17858329
coh,4.0,30.0,F4,Fp1,0.53412713,0.17116926
coh,4.0,30.0,F4,Fp2,0.54470880,0.20113252
coh,4.0,30.0,F4,O1,0.55962060,0.19605705
coh,4.0,30.0,F4,O2,0.49575864,0.17811215
coh,4.0,30.0,F4,P3,0.53694672,0.16198168
coh,4.0,30.0,F4,P4,0.54512658,0.19029207
coh,4.0,30.0,Fp1,Fp2,0.52919762,0.19833984
coh,4.0,30.0,Fp1,O1,0.56007978,0.19085212
coh,4.0,30.0,Fp1,O2,0.49152654,0.16342422
coh,4.0,30.0,Fp1,P3,0.54940030,0.19009151
coh,4.0,30.0,Fp1,P4,0.54522238,0.17648789
coh,4.0,30.0,Fp2,O1,0.54121128,0.19191611
coh,4.0,30.0,Fp2,O2,0.52930930,0.18788996
coh,4.0,30.0,Fp2,P3,0.54212948,0.20307897
coh,4.0,30.0,Fp2,P4,0.54801618,0.18689799
coh,4.0,30.0,O1,O2,0.53074929,0.16530277
coh,4.0,30.0,O1,P3,0.54529345,0.18431500
coh,4.0,30.0,O1,P4,0.55650865,0.18354444
coh,4.0,30.0,O2,P3,0.50445507,0.18699511
coh,4.0,30.0,O2,P4,0.53451474,0.16803162
coh,4.0,30.0,P3,P4,0.57743955,0.18860526
